202.712287447,202.077275165,201.242262884,200.407250602,202.712287447,195.836651057,195.250036648,195.836651057,196.032189194,195.836651057,195.173852958,195.836651057,196.032189194,195.836651057,195.173852958,195.836651057,196.032189194
202.428079142,172.345151596,172.345151596,199.923042297,195.836651057,172.345151596,172.345151596,195.836651057,195.836651057,179.02524985,179.02524985,195.836651057,195.836651057,179.02524985,179.02524985,195.836651057,0
201.943870836,172.345151596,200.273846273,172.345151596,195.250036648,172.345151596,195.250036648,179.02524985,195.173852958,179.02524985,195.173852958,179.02524985,195.173852958,179.02524985,195.173852958,0,0
201.459662531,200.624650249,172.345151596,172.345151596,195.836651057,195.836651057,179.02524985,179.02524985,195.817605135,195.817605135,179.02524985,179.02524985,195.817605135,195.817605135,0,0,0
202.712287447,198.643082868,198.056468459,198.470417381,198.838621004,195.836651057,195.250036648,195.836651057,196.032189194,195.836651057,195.173852958,195.836651057,196.032189194,0,0,0,0
198.643082868,172.345151596,172.345151596,197.986209075,195.836651057,175.424937155,175.424937155,195.836651057,195.836651057,179.02524985,179.02524985,195.836651057,0,0,0,0,0
198.056468459,172.345151596,198.337013052,175.424937155,195.250036648,175.424937155,195.250036648,179.02524985,195.173852958,179.02524985,195.173852958,0,0,0,0,0,0
198.643082868,198.687817028,175.424937155,175.424937155,195.836651057,195.836651057,179.02524985,179.02524985,195.817605135,195.817605135,0,0,0,0,0,0,0
198.838621004,198.643082868,197.980284769,198.470417381,198.838621004,195.836651057,195.250036648,195.836651057,196.032189194,0,0,0,0,0,0,0,0
198.643082868,175.424937155,175.424937155,197.986209075,195.836651057,175.424937155,175.424937155,195.836651057,0,0,0,0,0,0,0,0,0
197.980284769,175.424937155,198.337013052,175.424937155,195.250036648,175.424937155,195.250036648,0,0,0,0,0,0,0,0,0,0
198.643082868,198.687817028,175.424937155,175.424937155,195.836651057,195.836651057,0,0,0,0,0,0,0,0,0,0,0
198.838621004,198.643082868,197.980284769,198.470417381,198.838621004,0,0,0,0,0,0,0,0,0,0,0,0
198.643082868,175.424937155,175.424937155,197.986209075,0,0,0,0,0,0,0,0,0,0,0,0,0
197.980284769,175.424937155,198.337013052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.643082868,198.687817028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.838621004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
